th   par   nrr   aver
0  0.999667  0.401333  0.7005
0.001  0.999667  0.406  0.702833
0.002  0.999667  0.41  0.704833
0.003  0.999667  0.412333  0.706
0.004  0.999667  0.414667  0.707167
0.005  0.999667  0.417667  0.708667
0.006  0.999667  0.419667  0.709667
0.007  0.999667  0.423  0.711333
0.008  0.999667  0.425  0.712333
0.009  0.999667  0.427333  0.7135
0.01  0.999667  0.428667  0.714167
0.011  0.999667  0.433  0.716333
0.012  0.999333  0.435667  0.7175
0.013  0.999333  0.439667  0.7195
0.014  0.999333  0.442667  0.721
0.015  0.999333  0.444667  0.722
0.016  0.999333  0.447  0.723167
0.017  0.999333  0.451  0.725167
0.018  0.999333  0.453333  0.726333
0.019  0.999333  0.456667  0.728
0.02  0.999333  0.459333  0.729333
0.021  0.999333  0.461333  0.730333
0.022  0.999333  0.464  0.731667
0.023  0.999333  0.466333  0.732833
0.024  0.999333  0.470667  0.735
0.025  0.999333  0.474  0.736667
0.026  0.999333  0.477  0.738167
0.027  0.999333  0.483  0.741167
0.028  0.999333  0.484  0.741667
0.029  0.999333  0.486333  0.742833
0.03  0.999333  0.491667  0.7455
0.031  0.999333  0.493667  0.7465
0.032  0.999333  0.497  0.748167
0.033  0.999333  0.5  0.749667
0.034  0.999333  0.503667  0.7515
0.035  0.999333  0.507667  0.7535
0.036  0.999333  0.51  0.754667
0.037  0.999333  0.513333  0.756333
0.038  0.999333  0.517333  0.758333
0.039  0.999333  0.519667  0.7595
0.04  0.999333  0.525333  0.762333
0.041  0.999  0.529  0.764
0.042  0.999  0.533333  0.766167
0.043  0.999  0.536  0.7675
0.044  0.999  0.54  0.7695
0.045  0.999  0.543  0.771
0.046  0.998667  0.546667  0.772667
0.047  0.998667  0.550667  0.774667
0.048  0.998667  0.555  0.776833
0.049  0.998667  0.557667  0.778167
0.05  0.998667  0.559667  0.779167
0.051  0.998667  0.562333  0.7805
0.052  0.998333  0.566  0.782167
0.053  0.998333  0.57  0.784167
0.054  0.998333  0.574  0.786167
0.055  0.998333  0.575667  0.787
0.056  0.998333  0.577667  0.788
0.057  0.998333  0.581667  0.79
0.058  0.998333  0.583  0.790667
